p	N	S	T
3	22000	5249.9999944215	0.0006688000
3	47000	5249.9999987777	0.0007028000
3	100000	5249.9999997300	0.0006759000
3	220000	5249.9999999441	0.0007407000
3	470000	5249.9999999877	0.0009438000
3	1000000	5249.9999999973	0.0014144000
3	2200000	5249.9999999994	0.0021219000
3	4700000	5249.9999999997	0.0038066000
3	10000000	5249.9999999999	0.0075582000
3	22000000	5249.9999999999	0.0163960000
3	47000000	5250.0000000010	0.0346295000
3	100000000	5250.0000000020	0.0716447000
3	220000000	5250.0000000032	0.1567649000
3	470000000	5250.0000000060	0.3931598000
3	1000000000	5250.0000000198	0.7375879000
3	2200000000	5250.0000000488	1.6153072999
3	4700000000	5250.0000001205	3.3996819000
3	10000000000	5250.0000002980	7.1625876000
4	1	2550.0000000000	0.0008356000
4	2	4575.0000000000	0.0009645000
4	4	5081.2500000000	0.0007422000
4	7	5194.8979591837	0.0007514000
4	10	5223.0000000000	0.0007723000
4	22	5244.4214876033	0.0008068000
4	47	5248.7777274785	0.0008585000
4	100	5249.7300000000	0.0007685000
4	220	5249.9442148760	0.0008718000
4	470	5249.9877772748	0.0008372000
4	1000	5249.9973000000	0.0008718000
4	2200	5249.9994421488	0.0008454000
4	4700	5249.9998777727	0.0008544000
4	10000	5249.9999730000	0.0008551000
4	22000	5249.9999944215	0.0007898000
4	47000	5249.9999987777	0.0008675000
4	100000	5249.9999997300	0.0009296000
4	220000	5249.9999999442	0.0013645000
4	470000	5249.9999999877	0.0012797000
4	1000000	5249.9999999972	0.0013219000
4	2200000	5249.9999999994	0.0020311000
4	4700000	5249.9999999997	0.0032820000
4	10000000	5249.9999999997	0.0069228000
4	22000000	5250.0000000001	0.0122021000
4	47000000	5250.0000000002	0.0287759000
4	100000000	5250.0000000001	0.0689781000
4	220000000	5249.9999999998	0.1227545000
4	470000000	5249.9999999983	0.2628665000
4	1000000000	5249.9999999996	0.6036575000
4	2200000000	5249.9999999984	1.2950384000
4	4700000000	5249.9999999951	2.7000627000
4	10000000000	5249.9999999865	5.7142177000
5	1	2550.0000000000	0.0010201000
5	2	4575.0000000000	0.0011804000
5	4	5081.2500000000	0.0010805000
5	7	5194.8979591837	0.0094062000
5	10	5223.0000000000	0.0011092000
5	22	5244.4214876033	0.0010705000
5	47	5248.7777274785	0.0011038000
5	100	5249.7300000000	0.0011401000
5	220	5249.9442148760	0.0009891000
5	470	5249.9877772748	0.0010734000
5	1000	5249.9973000000	0.0012209000
5	2200	5249.9994421488	0.0012864000
5	4700	5249.9998777727	0.0017167000
5	10000	5249.9999730000	0.0012673000
5	22000	5249.9999944215	0.0015522000
5	47000	5249.9999987777	0.0010936000
5	100000	5249.9999997300	0.0010969000
5	220000	5249.9999999442	0.0013175000
5	470000	5249.9999999878	0.0014118000
5	1000000	5249.9999999973	0.0016143000
5	2200000	5249.9999999994	0.0021438000
5	4700000	5249.9999999997	0.0030857000
5	10000000	5249.9999999998	0.0054654000
5	22000000	5250.0000000001	0.0102187000
5	47000000	5249.9999999999	0.0249269000
5	100000000	5249.9999999989	0.0551718000
5	220000000	5250.0000000004	0.1079181000
5	470000000	5249.9999999986	0.2379427000
5	1000000000	5249.9999999991	0.5168202000
5	2200000000	5249.9999999955	1.0786260000
5	4700000000	5249.9999999866	2.2820056000
5	10000000000	5249.9999999615	4.7102707000
6	1	2550.0000000000	0.0009803000
6	2	4575.0000000000	0.0012160000
6	4	5081.2500000000	0.0011973000
6	7	5194.8979591837	0.0012555000
6	10	5223.0000000000	0.0016861000
6	22	5244.4214876033	0.0012479000
6	47	5248.7777274785	0.0013474000
6	100	5249.7300000000	0.0013163000
6	220	5249.9442148760	0.0012540000
